thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,tilt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,key_resp.started,fixation.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,trials.tilt,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
12,0,12,down,1,0.8362639999832027,None,1,12,0,12,0,24.985406499996316,,24.96972900000401,24.985406499996316,25.96882569999434,25.985349699971266,26.81933799997205,down,1,0.8362639999832027,None,1,1,001,2025-09-10_10h24.06.634,signal_detection,,2025.1.1,59.884327416833855,2025-09-10 10h24.12.109122 +0530,
13,0,13,up,1,0.60467879998032,None,0,13,0,13,0,26.83519010001328,,26.819734899967443,26.83519010001328,27.81862179999007,27.83523620001506,28.43586269998923,up,1,0.60467879998032,None,0,1,001,2025-09-10_10h24.06.634,signal_detection,,2025.1.1,59.884327416833855,2025-09-10 10h24.12.109122 +0530,
14,0,14,up,1,0.6589376999763772,None,0,14,0,14,0,28.451775399968028,,28.436260399990715,28.451775399968028,29.43536750000203,29.451808399986476,30.102247899980284,up,1,0.6589376999763772,None,0,1,001,2025-09-10_10h24.06.634,signal_detection,,2025.1.1,59.884327416833855,2025-09-10 10h24.12.109122 +0530,
15,0,15,up,1,0.49217700003646314,None,0,15,0,15,0,30.11847519996809,,30.1025665999623,30.11847519996809,31.1018383000046,31.118633100006264,31.60164349997649,up,1,0.49217700003646314,None,0,1,001,2025-09-10_10h24.06.634,signal_detection,,2025.1.1,59.884327416833855,2025-09-10 10h24.12.109122 +0530,
16,0,16,up,1,0.8850891999900341,None,0,16,0,16,0,31.618016899970826,,31.601815100002568,31.618016899970826,32.601568799989764,32.61835629999405,33.50223909999477,up,1,0.8850891999900341,None,0,1,001,2025-09-10_10h24.06.634,signal_detection,,2025.1.1,59.884327416833855,2025-09-10 10h24.12.109122 +0530,
17,0,17,down,1,0.42807409999659285,None,-5,17,0,17,0,33.51813380001113,,33.50291139999172,33.51813380001113,34.5016367000062,34.518243699974846,34.93500679999124,down,1,0.42807409999659285,None,-5,1,001,2025-09-10_10h24.06.634,signal_detection,,2025.1.1,59.884327416833855,2025-09-10 10h24.12.109122 +0530,
18,0,18,up,1,0.8139592999941669,None,0,18,0,18,0,34.951613900018856,,34.93522819998907,34.951613900018856,35.93465010001091,35.951339299965184,36.751669999968726,up,1,0.8139592999941669,None,0,1,001,2025-09-10_10h24.06.634,signal_detection,,2025.1.1,59.884327416833855,2025-09-10 10h24.12.109122 +0530,
19,0,19,up,1,0.66108750004787,None,0,19,0,19,0,36.76806019997457,,36.75189419998787,36.76806019997457,37.751548999978695,37.76798850001069,38.418667699967045,up,1,0.66108750004787,None,0,1,001,2025-09-10_10h24.06.634,signal_detection,,2025.1.1,59.884327416833855,2025-09-10 10h24.12.109122 +0530,
20,0,20,up,1,0.5958753999439068,None,0,20,0,20,0,38.434782499971334,,38.41902229998959,38.434782499971334,39.41810130001977,39.434679300000425,40.01854249997996,up,1,0.5958753999439068,None,0,1,001,2025-09-10_10h24.06.634,signal_detection,,2025.1.1,59.884327416833855,2025-09-10 10h24.12.109122 +0530,
21,0,21,up,0,0.4503231000271626,None,-2,21,0,21,0,40.03456010000082,,40.01889010000741,40.03456010000082,41.03416769998148,41.03416769998148,41.50108050002018,up,0,0.4503231000271626,None,-2,1,001,2025-09-10_10h24.06.634,signal_detection,,2025.1.1,59.884327416833855,2025-09-10 10h24.12.109122 +0530,
22,0,22,up,1,0.4477144000120461,None,0,22,0,22,0,41.517729999963194,,41.5013582999818,41.517729999963194,42.50136880000355,42.51764929998899,42.95136399997864,up,1,0.4477144000120461,None,0,1,001,2025-09-10_10h24.06.634,signal_detection,,2025.1.1,59.884327416833855,2025-09-10 10h24.12.109122 +0530,
23,0,23,down,1,0.4647421999834478,None,-3,23,0,23,0,42.967733500001486,,42.951651000010315,42.967733500001486,43.95112949999748,43.96774170000572,44.41788019996602,down,1,0.4647421999834478,None,-3,1,001,2025-09-10_10h24.06.634,signal_detection,,2025.1.1,59.884327416833855,2025-09-10 10h24.12.109122 +0530,
24,0,24,up,1,0.6045547000248916,None,0,24,0,24,0,44.43423830001848,,44.418047600018326,44.43423830001848,45.417841999966186,45.434227199992165,46.03450479998719,up,1,0.6045547000248916,None,0,1,001,2025-09-10_10h24.06.634,signal_detection,,2025.1.1,59.884327416833855,2025-09-10 10h24.12.109122 +0530,
25,0,25,up,1,0.5241711999988183,None,0,25,0,25,0,46.05069760000333,,46.034694399975706,46.05069760000333,47.03436629998032,47.051055999996606,47.56822849996388,up,1,0.5241711999988183,None,0,1,001,2025-09-10_10h24.06.634,signal_detection,,2025.1.1,59.884327416833855,2025-09-10 10h24.12.109122 +0530,
26,0,26,up,1,0.522850000008475,None,0,26,0,26,0,47.58393039996736,,47.56868869997561,47.58393039996736,48.56756240001414,48.58423879998736,49.10108479997143,up,1,0.522850000008475,None,0,1,001,2025-09-10_10h24.06.634,signal_detection,,2025.1.1,59.884327416833855,2025-09-10 10h24.12.109122 +0530,
27,0,27,up,0,0.3956336000119336,None,-3,27,0,27,0,49.11732919997303,,49.10134850000031,49.11732919997303,50.10092870000517,50.11739749996923,50.501030799990986,up,0,0.3956336000119336,None,-3,1,001,2025-09-10_10h24.06.634,signal_detection,,2025.1.1,59.884327416833855,2025-09-10 10h24.12.109122 +0530,
28,0,28,down,1,2.3304460999788716,None,3,28,0,28,0,50.517156500020064,,50.50142320001032,50.517156500020064,51.50074739998672,51.51741560001392,53.834607299999334,down,1,2.3304460999788716,None,3,1,001,2025-09-10_10h24.06.634,signal_detection,,2025.1.1,59.884327416833855,2025-09-10 10h24.12.109122 +0530,
29,0,29,up,0,0.5125510999932885,None,-4,29,0,29,0,53.850472099962644,,53.83521320001455,53.850472099962644,54.83380199997919,54.850750599987805,55.35119820002001,up,0,0.5125510999932885,None,-4,1,001,2025-09-10_10h24.06.634,signal_detection,,2025.1.1,59.884327416833855,2025-09-10 10h24.12.109122 +0530,
30,0,30,down,1,0.7728305999771692,None,-5,30,0,30,0,55.36686539999209,,55.35172540001804,55.36686539999209,56.350467499985825,56.36725509999087,57.13420229998883,down,1,0.7728305999771692,None,-5,1,001,2025-09-10_10h24.06.634,signal_detection,,2025.1.1,59.884327416833855,2025-09-10 10h24.12.109122 +0530,
31,0,31,up,0,0.6410599999944679,None,1,31,0,31,0,57.15049590001581,,57.134588899964,57.15049590001581,58.133779599971604,58.15051459998358,58.78414419997716,up,0,0.6410599999944679,None,1,1,001,2025-09-10_10h24.06.634,signal_detection,,2025.1.1,59.884327416833855,2025-09-10 10h24.12.109122 +0530,
32,0,32,up,1,0.6643601999967359,None,0,32,0,32,0,58.80025079997722,,58.78451620001579,58.80025079997722,59.783748399990145,59.80048099998385,60.450678599998355,up,1,0.6643601999967359,None,0,1,001,2025-09-10_10h24.06.634,signal_detection,,2025.1.1,59.884327416833855,2025-09-10 10h24.12.109122 +0530,
33,0,33,up,1,0.628232899995055,None,0,33,0,33,0,60.467072499974165,,60.450964399962686,60.467072499974165,61.45046339998953,61.466858199972194,62.08433889999287,up,1,0.628232899995055,None,0,1,001,2025-09-10_10h24.06.634,signal_detection,,2025.1.1,59.884327416833855,2025-09-10 10h24.12.109122 +0530,
34,0,34,up,1,0.8742787000373937,None,0,34,0,34,0,62.10010539996438,,62.08466200000839,62.10010539996438,63.08360640000319,63.10016959998757,63.96690309996484,up,1,0.8742787000373937,None,0,1,001,2025-09-10_10h24.06.634,signal_detection,,2025.1.1,59.884327416833855,2025-09-10 10h24.12.109122 +0530,
35,0,35,up,0,0.5356486000237055,None,2,35,0,35,0,63.98320650000824,,63.96712839999236,63.98320650000824,64.96688149997499,64.98332970001502,65.51716719998512,up,0,0.5356486000237055,None,2,1,001,2025-09-10_10h24.06.634,signal_detection,,2025.1.1,59.884327416833855,2025-09-10 10h24.12.109122 +0530,
36,0,36,up,1,0.6789855000097305,None,0,36,0,36,0,65.5333122999873,,65.51759070000844,65.5333122999873,66.5167941999971,66.53333020000719,67.20005899999524,up,1,0.6789855000097305,None,0,1,001,2025-09-10_10h24.06.634,signal_detection,,2025.1.1,59.884327416833855,2025-09-10 10h24.12.109122 +0530,
37,0,37,down,0,0.7874359000124969,None,0,37,0,37,0,67.21652839996386,,67.20025310001802,67.21652839996386,68.20009289996233,68.21641150000505,69.00057440000819,down,0,0.7874359000124969,None,0,1,001,2025-09-10_10h24.06.634,signal_detection,,2025.1.1,59.884327416833855,2025-09-10 10h24.12.109122 +0530,
38,0,38,up,1,0.7144720999640413,None,0,38,0,38,0,69.01637670001946,,69.00098949996755,69.01637670001946,70.01627189997816,70.01627189997816,70.73360380000668,up,1,0.7144720999640413,None,0,1,001,2025-09-10_10h24.06.634,signal_detection,,2025.1.1,59.884327416833855,2025-09-10 10h24.12.109122 +0530,
39,0,39,down,1,1.1161769999889657,None,-2,39,0,39,0,70.74975169997197,,70.73417000001064,70.74975169997197,71.7333970000036,71.7496489000041,72.85044780001044,down,1,1.1161769999889657,None,-2,1,001,2025-09-10_10h24.06.634,signal_detection,,2025.1.1,59.884327416833855,2025-09-10 10h24.12.109122 +0530,
40,0,40,down,0,0.9855895999935456,None,0,40,0,40,0,72.86603079998167,,72.8508135000011,72.86603079998167,73.86638949997723,73.86638949997723,74.8668139000074,down,0,0.9855895999935456,None,0,1,001,2025-09-10_10h24.06.634,signal_detection,,2025.1.1,59.884327416833855,2025-09-10 10h24.12.109122 +0530,
41,0,41,down,1,0.6469486000132747,None,2,41,0,41,0,74.8826393999625,,74.86733659997117,74.8826393999625,75.86606480000773,75.88284450001083,76.51643700001296,down,1,0.6469486000132747,None,2,1,001,2025-09-10_10h24.06.634,signal_detection,,2025.1.1,59.884327416833855,2025-09-10 10h24.12.109122 +0530,
42,0,42,down,0,1.3092325999750756,None,0,42,0,42,0,76.53283999999985,,76.51672319998033,76.53283999999985,77.51599619997432,77.532516199979,78.83284170000115,down,0,1.3092325999750756,None,0,1,001,2025-09-10_10h24.06.634,signal_detection,,2025.1.1,59.884327416833855,2025-09-10 10h24.12.109122 +0530,
43,0,43,down,0,1.052716199948918,None,0,43,0,43,0,78.84912410000106,,78.83302779996302,78.84912410000106,79.83250069996575,79.84926160000032,80.89987359999213,down,0,1.052716199948918,None,0,1,001,2025-09-10_10h24.06.634,signal_detection,,2025.1.1,59.884327416833855,2025-09-10 10h24.12.109122 +0530,
44,0,44,up,1,0.6925006999517791,None,0,44,0,44,0,80.91611330001615,,80.90025890001561,80.91611330001615,81.89933879999444,81.91605190001428,82.59976790001383,up,1,0.6925006999517791,None,0,1,001,2025-09-10_10h24.06.634,signal_detection,,2025.1.1,59.884327416833855,2025-09-10 10h24.12.109122 +0530,
45,0,45,up,1,1.601343900023494,None,0,45,0,45,0,82.61595249996753,,82.60014019999653,82.61595249996753,83.59923290001461,83.61595949996263,85.21599840000272,up,1,1.601343900023494,None,0,1,001,2025-09-10_10h24.06.634,signal_detection,,2025.1.1,59.884327416833855,2025-09-10 10h24.12.109122 +0530,
46,0,46,down,1,1.068965999991633,None,1,46,0,46,0,85.23221270000795,,85.21629860001849,85.23221270000795,86.2156832999899,86.23210099997232,87.29972239997005,down,1,1.068965999991633,None,1,1,001,2025-09-10_10h24.06.634,signal_detection,,2025.1.1,59.884327416833855,2025-09-10 10h24.12.109122 +0530,
47,0,47,down,1,0.7507459999760613,None,-3,47,0,47,0,87.31533529999433,,87.30040519998875,87.31533529999433,88.31552950001787,88.31552950001787,89.08284310001181,down,1,0.7507459999760613,None,-3,1,001,2025-09-10_10h24.06.634,signal_detection,,2025.1.1,59.884327416833855,2025-09-10 10h24.12.109122 +0530,
48,0,48,up,1,0.8220989999826998,None,0,48,0,48,0,89.09878790000221,,89.08323569997447,89.09878790000221,90.08209789998364,90.09893759997794,90.91580509999767,up,1,0.8220989999826998,None,0,1,001,2025-09-10_10h24.06.634,signal_detection,,2025.1.1,59.884327416833855,2025-09-10 10h24.12.109122 +0530,
49,0,49,down,1,0.7145635999622755,None,-5,49,0,49,0,90.93196050002007,,90.91610629996285,90.93196050002007,91.91552139999112,91.9321704999893,92.63244050001958,down,1,0.7145635999622755,None,-5,1,001,2025-09-10_10h24.06.634,signal_detection,,2025.1.1,59.884327416833855,2025-09-10 10h24.12.109122 +0530,
50,0,50,down,0,1.349066699971445,None,0,50,0,50,0,92.64880630001426,,92.63281709997682,92.64880630001426,93.63185499998508,93.64848360000178,94.98241479997523,down,0,1.349066699971445,None,0,1,001,2025-09-10_10h24.06.634,signal_detection,,2025.1.1,59.884327416833855,2025-09-10 10h24.12.109122 +0530,
51,0,51,up,1,0.48323910002363846,None,0,51,0,51,0,94.99848559999373,,94.98281660000794,94.99848559999373,95.98198069998762,95.99849939998239,96.48239199997624,up,1,0.48323910002363846,None,0,1,001,2025-09-10_10h24.06.634,signal_detection,,2025.1.1,59.884327416833855,2025-09-10 10h24.12.109122 +0530,
52,0,52,up,0,0.6069029999780469,None,3,52,0,52,0,96.49847990000853,,96.4827074999921,96.49847990000853,97.4817196999793,97.49856239999644,98.0989116000128,up,0,0.6069029999780469,None,3,1,001,2025-09-10_10h24.06.634,signal_detection,,2025.1.1,59.884327416833855,2025-09-10 10h24.12.109122 +0530,
53,0,53,up,0,0.5555614000186324,None,2,53,0,53,0,98.11499749997165,,98.09932679997291,98.11499749997165,99.09846229996765,99.11521670001093,99.66525239998009,up,0,0.5555614000186324,None,2,1,001,2025-09-10_10h24.06.634,signal_detection,,2025.1.1,59.884327416833855,2025-09-10 10h24.12.109122 +0530,
54,0,54,up,1,0.34829049999825656,None,0,54,0,54,0,99.68149350001477,,99.66552769998088,99.68149350001477,100.66492800001288,100.68146950000664,101.01531129999785,up,1,0.34829049999825656,None,0,1,001,2025-09-10_10h24.06.634,signal_detection,,2025.1.1,59.884327416833855,2025-09-10 10h24.12.109122 +0530,
55,0,55,up,0,0.34072069998364896,None,2,55,0,55,0,101.03159669996239,,101.01570429996355,101.03159669996239,102.01491369999712,102.03162600001087,102.3650348999654,up,0,0.34072069998364896,None,2,1,001,2025-09-10_10h24.06.634,signal_detection,,2025.1.1,59.884327416833855,2025-09-10 10h24.12.109122 +0530,
56,0,56,down,1,0.6570264000329189,None,-5,56,0,56,0,102.3814101999742,,102.36547700001393,102.3814101999742,103.36495159997139,103.38151879998622,104.03197939996608,down,1,0.6570264000329189,None,-5,1,001,2025-09-10_10h24.06.634,signal_detection,,2025.1.1,59.884327416833855,2025-09-10 10h24.12.109122 +0530,
57,0,57,down,1,0.7457289999583736,None,2,57,0,57,0,104.04804819996934,,104.03236820001621,104.04804819996934,105.03127420000965,105.04814420000184,105.78178899997147,down,1,0.7457289999583736,None,2,1,001,2025-09-10_10h24.06.634,signal_detection,,2025.1.1,59.884327416833855,2025-09-10 10h24.12.109122 +0530,
58,0,58,down,1,0.16832309996243566,None,3,58,0,58,0,105.79773389996262,,105.78220139996847,105.79773389996262,106.78130540001439,106.79809349996503,106.9652532999753,down,1,0.16832309996243566,None,3,1,001,2025-09-10_10h24.06.634,signal_detection,,2025.1.1,59.884327416833855,2025-09-10 10h24.12.109122 +0530,
59,0,59,down,1,0.627184099983424,None,2,59,0,59,0,106.98135269997874,,106.96561899996595,106.98135269997874,107.9646020999644,107.98133430001326,108.59847009996884,down,1,0.627184099983424,None,2,1,001,2025-09-10_10h24.06.634,signal_detection,,2025.1.1,59.884327416833855,2025-09-10 10h24.12.109122 +0530,
60,0,60,up,1,1.7716977000236511,None,0,60,0,60,0,108.61469369998667,,108.59885919996304,108.61469369998667,109.59791309997672,109.61457440000959,111.38103980000596,up,1,1.7716977000236511,None,0,1,001,2025-09-10_10h24.06.634,signal_detection,,2025.1.1,59.884327416833855,2025-09-10 10h24.12.109122 +0530,
61,0,61,down,0,0.3575285999686457,None,0,61,0,61,0,111.39767490001395,,111.38120599999093,111.39767490001395,112.38114569999743,112.39758280001115,112.7485884000198,down,0,0.3575285999686457,None,0,1,001,2025-09-10_10h24.06.634,signal_detection,,2025.1.1,59.884327416833855,2025-09-10 10h24.12.109122 +0530,
